순번,시군명,명칭,구분,도로명주소,전화번호,소개,자료출처,공개여부,작성일,갱신주기(년)
46,남원시,남원시허브밸리,남원시10,남원시 시청로 60,063-620-6251,지리산에서 자생하는 1300여종 허브를 중심으로 휴양과 치유를 결합,관광총괄과,Y,2015-10-01,1
47,김제시,김제시벽골제,김제시1,김제시 부량면 벽골제로 442,063-540-4985,우리나라 최초의 저수지이자 고대 토목기술을 보여줌,관광총괄과,Y,2015-10-01,1
48,김제시,농경문화박물관,김제시2,김제시 부량면 벽골제로 442,063-540-4985,벽골제와 더불어 5천년 넘는 농경문화자원 보유한 김제시 박물관,관광총괄과,Y,2015-10-01,1
49,김제시,농경사주제관 및 체험,김제시3,김제시 부량면 벽골제로 442,063-540-4094,선사시대부터 근현대까지 쉽고 재미있게 우리나라 농경 역사를 배우는 곳,관광총괄과,Y,2015-10-01,1
50,김제시,조정래아리랑문학관,김제시4,김제시 부량면 용성1길 24,063-540-3934,대하소설 아리랑 작가 조정래 작품 혼이 실린 곳,관광총괄과,Y,2015-10-01,1
51,김제시,김제시 들녘 코스모스길,김제시5,김제시 부량면 벽골제로 442,,황금들녘 사이로 4백리넘게 늘어선 코스모스 길,관광총괄과,Y,2015-10-01,1
52,김제시,금산사,김제시6,김제시 금산면 모악15길 1,063-548-4441,호남 제일고찰로 신도들과 관광객의 발길이 끊이질 않는 절,관광총괄과,Y,2015-10-01,1
53,김제시,귀신사,김제시7,김제시 금산면 청도6길 40,063-548-0917,백제 법왕 왕실 사찰,관광총괄과,Y,2015-10-01,1
54,김제시,금산교회,김제시8,김제시 금산면 모악로 407,063-548-4401,ㄱ자형 독특한 한옥 교회 양식,관광총괄과,Y,2015-10-01,1
55,김제시,수류천주교회,김제시9,김제시 금산면 수류로 643,063-544-5652,동양에서 가장 많은 신부 배출한 1890년 호남 3대 성당 중 한 곳,관광총괄과,Y,2015-10-01,1
56,김제시,지평선마린리조트,김제시10,김제시 만경읍 능제로 76-11,063-548-7774,능제 저수지와 수변공원 연계한 수상 레저스포츠 천국,관광총괄과,Y,2015-10-01,1
57,완주군,비비정마을,완주1,완주군 삼례읍 비비정길 96-9,063-291-8606,조미료 없는 로컬푸드 음식 유명한 곳,관광총괄과,Y,2015-10-01,1
58,완주군,삼례문화예술촌,완주2,완주군 삼례읍 삼례역로 81-13,070-8915-8121,일제 강점기 양곡 창고를 개조해 만든 문화예술공간,관광총괄과,Y,2015-10-01,1
59,완주군,대승한지마을,완주3,완주군 소양면 복은길 18,063-242-1001,천년 이어온 한지 생산의 메카,관광총괄과,Y,2015-10-01,1
60,완주군,고산미소 관광시장,완주4,완주군 고산면 남봉로 134,,고산 5일장을 상설화한 문화관광형 시장,관광총괄과,Y,2015-10-01,1
61,완주군,고산자연휴양림,완주5,완주군 고산면 고산휴양림로 246,063-290-2929,삼림욕 즐길 수 있는 사계절 가족휴양지,관광총괄과,Y,2015-10-01,1
62,완주군,밀리터리파크,완주6,완주군 고산면 고산휴양림로 89,063-290-2727,서바이벌 게임장,관광총괄과,Y,2015-10-01,1
63,완주군,대아저수지,완주7,완주군 동상면 대아저수로 659,063-263-4874,기암절벽 둘러싼 아름다운 호수,관광총괄과,Y,2015-10-01,1
64,완주군,창포마을,완주8,완주군 고산면 대아저수로 392,063-261-7373,대아호를 끼고 있는 전국 유일의 창포군락지,관광총괄과,Y,2015-10-01,1
65,완주군,안덕마을,완주9,완주군 구이면 장파길 72,,"자연과 함께하는 건강, 체험 힐링마을(황토찜질방)",관광총괄과,Y,2015-10-01,1
66,완주군,대둔산,완주10,완주군 운주면 대둔산로 11,063-263-9949,우뚝 솟은 암봉과 기암괴석의 조화,관광총괄과,Y,2015-10-01,1
67,완주군,송광사,완주11,완주군 소양면 송광수만로 255-16,063-243-8091,신라 도의선사가 세운 절. 춘삼월 벚꽃이 장관을 이루는 명소,관광총괄과,Y,2015-10-01,1
68,완주군,상관 편백나무 숲,완주12,완주군 상관면 죽림편백길 164-9,063-290-3501,편백나무가 내뿜는 피톤치드에 힐링할수 있는 곳,관광총괄과,Y,2015-10-01,1
69,진안군,마이산도립공원,진안군1,진안군 마령면 마이산남로 367,063-433-3313,하늘 높이 치솟은 두 개의 거대 암봉이 흡사 쫑긋한 말의 귀처럼 생겼다 함,관광총괄과,Y,2015-10-01,1
70,진안군,홍삼스파,진안군2,진안군 진안읍 외사양길 16-10,1588-7597,국내 최초로 홍삼과 음양오행을 접목해 만든 치유형 스파시설,관광총괄과,Y,2015-10-01,1
71,진안군,에코에듀센터,진안군3,진안군 정천면 봉학로 171-22,063-433-1666,국내 최초 아토피 생활치료공간,관광총괄과,Y,2015-10-01,1
72,진안군,용담댐,진안군4,진안군 안천면 안용로 793,063-430-4262,전주시권 생활용수 공급위해 준공된 다목적댐,관광총괄과,Y,2015-10-01,1
73,진안군,메타세콰이어길,진안군5,진안군 부귀면 모래재로 841,,도로 사이로 즐비하게 늘어선 메타세콰이어가 장관,관광총괄과,Y,2015-10-01,1
74,무주군,반디랜드,무주1,무주군 설천면 무설로 1324,063-324-1155,청정무주의 상징 반딧불이를 테마로 조성된 반딧불 체험학습지,관광총괄과,Y,2015-10-01,1
75,무주군,태권도원,무주2,무주군 설천면 무설로 1482,063-320-0114,태권도의 보존과 세계화를 위해 마련한 세계 최대의 태권도 공원,관광총괄과,Y,2015-10-01,1
76,무주군,구천동계곡,무주3,무주군 설천면 백련사길 580,,"국내 4대 계곡 중 하나로 울창한 숲 사이로 폭포, 담 등이 어우러짐",관광총괄과,Y,2015-10-01,1
77,무주군,금강래프팅,무주4,무주군 부남면 부남로 854,063-322-1077,완만한 유속으로 최적의 래프팅 코스,관광총괄과,Y,2015-10-01,1
78,무주군,머루와인동굴,무주5,무주군 적상면 산성로 359,063-322-4720,최적 보관 온도를 자동으로 맞춰주는 무주산 머루와인 동굴,관광총괄과,Y,2015-10-01,1
79,장수군,봉화산철쭉군락지,장수1,장수군 번암면 지지로 608,063-350-2444,하단부터 정상까지 20일 시차두고 계단식으로 채워진 이색 철쭉 명소,관광총괄과,Y,2015-10-01,1
80,장수군,장안산군립공원,장수2,장수군 장수읍 덕산로 834,063-350-2444,광할한 억새밭이 넘실대고 연못과 폭포가 절경을 이루는 곳,관광총괄과,Y,2015-10-01,1
81,장수군,주촌민속마을,장수3,장수군 장계면 의암로 535-6,063-352-5465,임진왜란 때 적장을 안고 남강에 투신한 논개가 태어난 마을,관광총괄과,Y,2015-10-01,1
82,장수군,도깨비전시관,장수4,장수군 장계면 의암로 558,063-352-2143,-,관광총괄과,Y,2015-10-01,1
83,임실군,임실치즈테마파크,임실1,임실군 성수면 도인2길 50,063-643-2300,국내에서 유일하게 치즈를 테마로 마련한 체험형 테마관광지,관광총괄과,Y,2015-10-01,1
84,임실군,임실치즈마을,임실2,임실군 임실읍 치즈마을1길 4,063-643-3700,"송아지 우유주기, 요구르트, 치즈만들기 등 다양한 치즈낙농체험",관광총괄과,Y,2015-10-01,1
85,임실군,사선대,임실3,임실군 관촌면 사선2길 68-7,063-640-2921,신선과 선녀 사로잡은 빼어난 경관이 이름난 관광명소,관광총괄과,Y,2015-10-01,1
86,임실군,임실필봉문화촌,임실4,임실군 강진면 강운로 272,063-643-1902,"한옥스테이 전문, 전통문화체험, 국악공연 관람 등 제공.",관광총괄과,Y,2015-10-01,1
87,임실군,119안전체험장,임실5,임실군 임실읍 호국로 1630,063-290-5676,"전북119안전체험관, 재난종합체험동, 위기탈출체험동, 어린이안전마을",관광총괄과,Y,2015-10-01,1
88,순창군,강천산군립공원,순창1,순창군 팔덕면 강천산길 270,063-650-1672,전국 최초의 군립공원으로 지정된 곳,관광총괄과,Y,2015-10-01,1
89,순창군,전통고추장민속마을,순창2,순창군 순창읍 민속마을길 5-13,063-653-9916,최고의 자연환경 속에 피어난 순창고추장의 명성과 전통을 조성한 마을,관광총괄과,Y,2015-10-01,1
90,순창군,향가유원지,순창3,순창군 풍산면 향가로 574-45,,섬진강의 중간지점에 있는 자연발생유원지,관광총괄과,Y,2015-10-01,1
91,순창군,장군목유원지,순창4,순창군 동계면 장군목길 686-1,,섬진강 구간 중 가장 경치가 빼어난 곳,관광총괄과,Y,2015-10-01,1
92,순창군,만일사,순창5,순창군 구림면 안심길 103-134,063-653-5283,태조 이성계와 순창고추장간 인연을 맺어준 절,관광총괄과,Y,2015-10-01,1
93,순창군,화문산,순창6,순창군 구림면 안심길 249,063-653-4779,해발 780m 장군봉 아래 자연휴양림 펼쳐 놓은 호남의 명산,관광총괄과,Y,2015-10-01,1
94,고창군,마애불상,고창1,고창군 아산면 선운사로 250,,도솔암 서편 암벽 칠송대에 새겨진 국내 최대 마애불상,관광총괄과,Y,2015-10-01,1
95,고창군,고인돌유적,고창2,고창군 고창읍 고인돌공원길 74,,우리나라 최대의 고인돌 유적지,관광총괄과,Y,2015-10-01,1
96,고창군,고창읍성,고창3,고창군 고창읍 판소리길 20,063-560-2465,왜침을 막기 위해 전라도민들이 축성한 자연석 성곽,관광총괄과,Y,2015-10-01,1
97,고창군,학원농장,고창4,고창군 공음면 학원농장길 158-6,,드넓은 들판에 펼쳐진 청보리밭,관광총괄과,Y,2015-10-01,1
98,고창군,미당 시문학관,고창5,고창군 부안면 질마재로 2-8,063-560-8058,미당 서정주의 생애와 예술혼이 집결된 공간,관광총괄과,Y,2015-10-01,1
99,고창군,판소리박물관,고창6,고창군 고창읍 동리로 100,063-560-8061,동리 신재효선생 고택에 자리한 판소리의 전당,관광총괄과,Y,2015-10-01,1
100,고창군,인천강좌치나루터,고창7,고창군 심원면 선운대로 2257-19,063-564-2121,"바다와 민물이 만나는 최적의 장어 서식지 자연산 숭어, 잉어 낚시의 명당",관광총괄과,Y,2015-10-01,1
101,고창군,구사포해수욕장,고창8,고창군 상하면 진암구시포로 545,063-560-2633,고운 백사장과 천혜자연환경 자랑하는 해수욕의 최적지,관광총괄과,Y,2015-10-01,1
102,부안군,변산반도국립공원,부안1,부안군 변산면 변산로 2070,063-582-7808,국내 국립공원 중 유일하게 산과 바다가 어우러져 이색 풍경을 연출,관광총괄과,Y,2015-10-01,1
103,부안군,채석강,부안2,부안군 변산면 채석강길 32,,수많은 책이 높다랗게 쌓인 듯 특이한 지형이 장관을 이룬 곳,관광총괄과,Y,2015-10-01,1
104,부안군,영상테마파크,부안3,부안군 변산면 격포로 309-64,063-583-0977,"조선 중기를 그대로 재연해 놓음, 영화와 드라마 촬영지",관광총괄과,Y,2015-10-01,1
105,부안군,새만금홍보관,부안4,부안군 변산면 새만금로 6,063-584-6822,새만금종합개발사업 현장,관광총괄과,Y,2015-10-01,1
106,부안군,곰소항,부안5,부안군 진서면 곰소항길 49,063-580-4608,"한국 대표 젓갈 산지, 8ha에 달하는 광할한 염전",관광총괄과,Y,2015-10-01,1
107,부안군,곰소염전,부안6,부안군 진서면 염전길 18,,부안의 햇볕과 바람이 빚어낸 최상의 천일염 창고,관광총괄과,Y,2015-10-01,1
108,부안군,내소사,부안7,부안군 진서면 내소사로 243,063-583-7281,"성보문화재, 사이버법당, 템플스테이 정보 제공.",관광총괄과,Y,2015-10-01,1
109,부안군,위도,부안8,부안군 위도면 진리안길 5,063-583-3804,"칠산어장의 중심지, 30여개의 섬, 천혜 해안경관 자랑",관광총괄과,Y,2015-10-01,1
